track,track_id,artist,album,release_date,total_tracks,award
Ahora Vete,5AVnvrrt9kXrm537nGykVw,Yulien Oviedo,Ahora Vete,2017-10-06,1,0
Outside Today,3sA7HKGzcKTVscdiTCrWpX,YoungBoy Never Broke Again,Until Death Call My Name Reloaded,2018-06-29,20,1
Tequila,7Il2yWQmsqKgSkLQvHTPUI,Dan + Shay,Tequila,2018-01-10,1,1
Overdose,3A1BaBGT3HgzuDrV9pgX9v,YoungBoy Never Broke Again,Until Death Call My Name Reloaded,2018-06-29,20,0
I Do (feat. SZA),1f5PNhkNgUpvDEeZfcIlO1,Cardi B,Invasion of Privacy,2018-04-06,13,0
S.O.B.,1hWQvA6oGVJ2mAVsZ59AaV,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,2015-01-01,11,1
BILLY,5KhFaq45chTw8RGfWo8T8J,6ix9ine,Day69: Graduation Day,2018-04-10,12,0
Up Down (feat. Florida Georgia Line),6SkeXwlWEHhjSZPNVSpJae,Morgan Wallen,If I Know Me,2018-04-27,14,1
No Te Vas - Remix,0UU6IOw7aZcUIu0iW7EfVW,Nacho,No Te Vas (Remix),2018-04-03,1,1
SUTRA,0lTYnxJdC68v0oXd5xolxY,Sebastian Yatra,MANTRA,2018-05-18,16,1
Gucci Gang,43ZyHQITOjhciSUUNPVRHc,Lil Pump,Lil Pump,2017-10-06,15,3
Bipolar,4WzsycqZkpkS48H9AAAGux,Chris Jeday,Bipolar,2018-03-07,1,1
Bad Liar,2fZQIJew3nkNe99s2PKzul,Selena Gomez,Bad Liar,2017-05-18,1,1
Chun-Li,2gTYVoQCUh0QNUaFix01ld,Nicki Minaj,Chun-Li,2018-04-12,1,1
D Rose,1fEl5TPKRJAsuP6TqZ23hB,Lil Pump,Lil Pump,2017-10-06,15,0
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,17,3
Wild Thoughts (feat. Rihanna & Bryson Tiller),45XhKYRRkyeqoW3teSOkCM,DJ Khaled,Grateful,2017-06-22,23,4
Flex Like Ouu,2hJWZvTw4QVBwC14ZNs1Ib,Lil Pump,Lil Pump,2017-10-06,15,0
The Other Side,2cKovq3l6OJjhVVDbVKOsr,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,11,0
A Million Dreams,0RoA7ObU6phWpqhlC9zH4Z,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,11,0
Crystallize,5JFkuKQsPps2ZaZzaLx63d,Lindsey Stirling,Lindsey Stirling,2012,14,1
When We,2HWelwHQS4EdRqIycZOc3O,Tank,SAVAGE,2017-09-29,11,1
Singles You Up,4LiMQ6G9n84rDUBs9wtwz6,Jordan Davis,Home State,2018-03-23,12,1
"The Greatest Show (From ""The Greatest Showman"") - Instrumental",3F1JuT34kjlRiPhhEA6Zth,The Greatest Showman Ensemble,"The Greatest Show (From ""The Greatest Showman"") [Instrumental]",2017-12-05,1,0
Lie,07FkzikE6FuHIa8Ma7zJGc,NF,Perception,2017-10-06,16,0
Delicate,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,reputation,2017-11-10,15,1
FOOLS,0tjfognbowyFM3RHTdxjPK,Troye Sivan,Blue Neighbourhood (Deluxe),2015-12-04,16,0
Blank Space,1p80LdxRV74UKvL8gnD7ky,Taylor Swift,1989,2014-10-27,13,8
The Best Day,3esA216TyLHEkNiBCeCmcg,Taylor Swift,Fearless,2008-01-01,13,0
Chequen el Porte,6goIL4sO64AHAO5SaNkLAh,Adriel Favela,Azul Se Mira,2017-07-14,11,1
...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,Taylor Swift,reputation,2017-11-10,15,2
I Knew You Were Trouble.,72jCZdH0Lhg93z6Z4hBjgj,Taylor Swift,Red,2012-01-01,16,7
Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,Taylor Swift,reputation,2017-11-10,15,4
How You Get The Girl,6wfugRLamFsTRbPcCpNnP7,Taylor Swift,1989 (Deluxe Edition),2014-10-27,19,0
Happy Little Pill,4z8Ll8nU1jMqB8HvKTyLP1,Troye Sivan,TRXYE,2014-08-15,5,0
Forever & Always,47HtKpfzpAt8rQjjXWotFj,Taylor Swift,Fearless,2008-01-01,13,1
The Way I Loved You,5P4wWhUYWM0IaVYLuZxdar,Taylor Swift,Fearless,2008-01-01,13,0
All Too Well,1q3RiD1tIWUpGsNFADMlvl,Taylor Swift,Red (Deluxe Edition),2012-01-01,22,0
Welcome To New York,6qnM0XXPZOINWA778uNqQ9,Taylor Swift,1989,2014-10-27,13,1
Red,1RvQQGwaPipiNgz8RXAKA8,Taylor Swift,Red (Deluxe Edition),2012-01-01,22,2
End Game,2x0WlnmfG39ZuDmstl9xfX,Taylor Swift,reputation,2017-11-10,15,1
Kill Em With Kindness,1QNoKVgA758HFLu3TW2q7R,Selena Gomez,Revival (Deluxe),2015-10-09,14,1
Hands To Myself,1LoriJC05IrHIDwj3q0KC1,Selena Gomez,Revival (Deluxe),2015-10-09,14,2
Fetish (feat. Gucci Mane),4lnAN2S1fcI0SjxEbksZVr,Selena Gomez,Fetish (feat. Gucci Mane),2017-07-13,1,1
Unsteady,7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,VHS,2015-06-30,20,3
Renegades,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,VHS,2015-06-30,20,3
Walk On Water,6FT9FZccFD6nE8dMNslz2n,Thirty Seconds To Mars,AMERICA,2018-04-06,12,0
Same Old Love,1BZG99C7Co1r6QUC3zaS59,Selena Gomez,Revival (Deluxe),2015-10-09,14,3
Youngblood,55S2PQgSMYAhgoTCcGCDfw,5 Seconds of Summer,Youngblood,2018-04-12,1,0
My Demons,3Xfg7AegXaDLoD5GOUMf2e,Starset,Transmissions (Deluxe Version),2014,20,0
Cash Machine,2UzQdfooGVIeGjqcUMOBWY,DRAM,Big Baby DRAM,2016-10-21,14,0
Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,17,2017-08-25,11,2
MotorSport,4wFjTWCunQFKtukqrNijEt,Migos,Culture II,2018-01-26,24,3
Lo Que Te Amo,2IqNbflEkshezwf3F814H8,Crecer German,Hombre Afortunado (Deluxe),2017-01-20,21,1
Alone (Feat. Big Sean & Stefflon Don),3tbNT2X5tfMIVeUflYbZUZ,Halsey,Alone (Feat. Big Sean & Stefflon Don),2018-03-15,1,0
Quién Te Entiende,4OEIR3dxxcQAUQ6KZHA7l4,Crecer German,Quién Te Entiende,2016-05-06,1,5
Hombre Afortunado,3EHj4N0Kp0wX3RpPW6TJj5,Crecer German,Hombre Afortunado,2016-10-07,11,0
Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,Culture II,2018-01-26,24,2
rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,Post Malone,beerbongs & bentleys,2018-04-27,18,7
Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,Halsey,hopeless fountain kingdom (Deluxe),2017-06-02,16,3
Shooters,6TrjaOqUwdKQ7KNxJr2s9Y,Tory Lanez,MEMORIES DON'T DIE,2018-03-02,18,0
Yikes,2r4JRwcbIeuAzWjH4YXlLs,Kanye West,ye,2018-06-01,7,0
Narcos,0wbnC9AUenxp613TYaJsGK,Migos,Culture II,2018-01-26,24,1
Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,Culture II,2018-01-26,24,2
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,Calum Scott,Only Human (Deluxe),2018-03-09,14,0
