track,track_id,artist,album,release_date,total_tracks
Singles You Up,4LiMQ6G9n84rDUBs9wtwz6,Jordan Davis,Home State,2018-03-23,12
"The Greatest Show (From ""The Greatest Showman"") - Instrumental",3F1JuT34kjlRiPhhEA6Zth,The Greatest Showman Ensemble,"The Greatest Show (From ""The Greatest Showman"") [Instrumental]",2017-12-05,1
When I'm Small,3498wF96LsgVgMkGmJzJOC,Phantogram,Eyelid Movies,2009,11
Lie,07FkzikE6FuHIa8Ma7zJGc,NF,Perception,2017-10-06,16
Delicate,6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,reputation,2017-11-10,15
FOOLS,0tjfognbowyFM3RHTdxjPK,Troye Sivan,Blue Neighbourhood (Deluxe),2015-12-04,16
Blank Space,1p80LdxRV74UKvL8gnD7ky,Taylor Swift,1989,2014-10-27,13
The Best Day,3esA216TyLHEkNiBCeCmcg,Taylor Swift,Fearless,2008-01-01,13
Chequen el Porte,6goIL4sO64AHAO5SaNkLAh,Adriel Favela,Azul Se Mira,2017-07-14,11
...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,Taylor Swift,reputation,2017-11-10,15
I Knew You Were Trouble.,72jCZdH0Lhg93z6Z4hBjgj,Taylor Swift,Red,2012-01-01,16
Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,Taylor Swift,reputation,2017-11-10,15
How You Get The Girl,6wfugRLamFsTRbPcCpNnP7,Taylor Swift,1989 (Deluxe Edition),2014-10-27,19
Happy Little Pill,4z8Ll8nU1jMqB8HvKTyLP1,Troye Sivan,TRXYE,2014-08-15,5
Forever & Always,47HtKpfzpAt8rQjjXWotFj,Taylor Swift,Fearless,2008-01-01,13
The Way I Loved You,5P4wWhUYWM0IaVYLuZxdar,Taylor Swift,Fearless,2008-01-01,13
All Too Well,1q3RiD1tIWUpGsNFADMlvl,Taylor Swift,Red (Deluxe Edition),2012-01-01,22
Welcome To New York,6qnM0XXPZOINWA778uNqQ9,Taylor Swift,1989,2014-10-27,13
Red,1RvQQGwaPipiNgz8RXAKA8,Taylor Swift,Red (Deluxe Edition),2012-01-01,22
End Game,2x0WlnmfG39ZuDmstl9xfX,Taylor Swift,reputation,2017-11-10,15
Kill Em With Kindness,1QNoKVgA758HFLu3TW2q7R,Selena Gomez,Revival (Deluxe),2015-10-09,14
Hands To Myself,1LoriJC05IrHIDwj3q0KC1,Selena Gomez,Revival (Deluxe),2015-10-09,14
Fetish (feat. Gucci Mane),4lnAN2S1fcI0SjxEbksZVr,Selena Gomez,Fetish (feat. Gucci Mane),2017-07-13,1
Unsteady,7lGKEWMXVWWTt3X71Bv44I,X Ambassadors,VHS,2015-06-30,20
Renegades,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,VHS,2015-06-30,20
Walk On Water,6FT9FZccFD6nE8dMNslz2n,Thirty Seconds To Mars,AMERICA,2018-04-06,12
Same Old Love,1BZG99C7Co1r6QUC3zaS59,Selena Gomez,Revival (Deluxe),2015-10-09,14
Youngblood,55S2PQgSMYAhgoTCcGCDfw,5 Seconds of Summer,Youngblood,2018-04-12,1
My Demons,3Xfg7AegXaDLoD5GOUMf2e,Starset,Transmissions (Deluxe Version),2014,20
Cash Machine,2UzQdfooGVIeGjqcUMOBWY,DRAM,Big Baby DRAM,2016-10-21,14
