genres,followers,artists
[],8,Dj Beatmaker
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'trap music']",271466,Juelz
"['deep southern trap', 'deep trap', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",220004,Rocko
"['drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop', 'vapor trap']",1339095,Chief Keef
"['latin classical', 'tango']",130600,Astor
[],12,Dinner Beats
"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2017576,Yo Gotti
"['chillhop', 'lo-fi beats']",12525,Philanthrope
"['deep trap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']",1734931,Rich Homie Quan
"['deep pop r&b', 'slow game']",39071,Jonn Hart
"['contemporary country', 'country', 'country road', 'modern country rock']",1040148,Josh Turner
"['contemporary country', 'deep talent show']",195420,RaeLynn
['reggaeton'],12556869,Maluma
['contemporary country'],165125,Chris Lane
"['dance pop', 'pop', 'post-teen pop']",4983713,P!nk
